,Volumes,2438029401,8776760226,7124137181
,Neuron ID,SM,SP,SL
SUB EC-Projecting Pyramidal,5001,26008837.37,71358739.25,76362059.24
,,37981048.68,20277837.28,
SUB CA1-Projecting Pyramidal,5005,128753291.6,158656509.7,44581238.67
,,100330871,10965767.24,
SUB Axo-axonic,5002,,3827696.204,
,,2642511.019,,
