From (presynaptic type),To (postsynaptic type)
CA3 LMR-Targeting,CA3 QuadD-LM
CA3 LMR-Targeting,CA3 Radiatum
CA3 LMR-Targeting,CA3 R-LM
CA3 Lucidum LAX,CA3 Pyramidal
CA3 Lucidum LAX,CA3c Pyramidal
CA3 Lucidum LAX,CA3 Axo-Axonic
CA3 Lucidum LAX,CA3 Basket
CA3 Lucidum LAX,CA3 BC CCK+
CA3 Lucidum LAX,CA3 Bistratified
CA3 Lucidum LAX,CA3 IS Quad
CA3 Lucidum LAX,CA3 Ivy
CA3 Lucidum LAX,CA3 LMR-Targeting
CA3 Lucidum LAX,CA3 Lucidum LAX
CA3 Lucidum LAX,CA3 Lucidum ORAX
CA3 Lucidum LAX,CA3 Lucidum-Radiatum
CA3 Lucidum LAX,CA3 Spiny Lucidum
CA3 Lucidum LAX,CA3 Mossy Fiber-Associated
CA3 Lucidum LAX,CA3 MFA ORDEN
CA3 Lucidum LAX,CA3 QuadD-LM
CA3 Lucidum LAX,CA2 Wide-Arbor BC
CA3 Lucidum ORAX,CA3 Pyramidal
CA3 Lucidum ORAX,CA3c Pyramidal
CA3 Lucidum ORAX,CA3 Giant
CA3 Lucidum ORAX,CA3 Granule
CA3 Lucidum ORAX,CA3 Axo-Axonic
CA3 Lucidum ORAX,CA3 Horizontal AA
CA3 Lucidum ORAX,CA3 Basket
CA3 Lucidum ORAX,CA3 BC CCK+
CA3 Lucidum ORAX,CA3 Bistratified
CA3 Lucidum ORAX,CA3 IS Oriens
CA3 Lucidum ORAX,CA3 IS Quad
CA3 Lucidum ORAX,CA3 Ivy
CA3 Lucidum ORAX,CA3 LMR-Targeting
CA3 Lucidum ORAX,CA3 Lucidum LAX
CA3 Lucidum ORAX,CA3 Lucidum ORAX
CA3 Lucidum ORAX,CA3 Lucidum-Radiatum
CA3 Lucidum ORAX,CA3 Spiny Lucidum
CA3 Lucidum ORAX,CA3 Mossy Fiber-Associated
CA3 Lucidum ORAX,CA3 MFA ORDEN
CA3 Lucidum ORAX,CA3 O-LM
CA3 Lucidum ORAX,CA3 QuadD-LM
CA3 Lucidum ORAX,CA3 Radiatum
CA3 Lucidum ORAX,CA3 R-LM
CA3 Lucidum ORAX,CA3 SO-SO
CA3 Lucidum ORAX,CA3 Trilaminar
CA3 Lucidum ORAX,CA2 Wide-Arbor BC
CA3 Lucidum-Radiatum,CA3 Pyramidal
CA3 Lucidum-Radiatum,CA3c Pyramidal
CA3 Lucidum-Radiatum,CA3 Giant
CA3 Lucidum-Radiatum,CA3 Granule
CA3 Lucidum-Radiatum,CA3 Axo-Axonic
CA3 Lucidum-Radiatum,CA3 Basket
CA3 Lucidum-Radiatum,CA3 BC CCK+
CA3 Lucidum-Radiatum,CA3 Bistratified
CA3 Lucidum-Radiatum,CA3 IS Quad
CA3 Lucidum-Radiatum,CA3 Ivy
CA3 Lucidum-Radiatum,CA3 LMR-Targeting
CA3 Lucidum-Radiatum,CA3 Lucidum LAX
CA3 Lucidum-Radiatum,CA3 Lucidum ORAX
CA3 Lucidum-Radiatum,CA3 Lucidum-Radiatum
CA3 Lucidum-Radiatum,CA3 Spiny Lucidum
CA3 Lucidum-Radiatum,CA3 Mossy Fiber-Associated
CA3 Lucidum-Radiatum,CA3 MFA ORDEN
CA3 Lucidum-Radiatum,CA3 QuadD-LM
CA3 Lucidum-Radiatum,CA3 Radiatum
CA3 Lucidum-Radiatum,CA3 R-LM
CA3 Spiny Lucidum,DG Granule
CA3 Spiny Lucidum,DG Hilar Ectopic Granule
CA3 Spiny Lucidum,DG Semilunar Granule
CA3 Spiny Lucidum,DG Mossy MOLDEN
CA3 Spiny Lucidum,DG AIPRIM
CA3 Spiny Lucidum,DG Axo-Axonic
CA3 Spiny Lucidum,DG Basket
CA3 Spiny Lucidum,DG BC CCK+
CA3 Spiny Lucidum,DG HICAP
CA3 Spiny Lucidum,DG HIPROM
CA3 Spiny Lucidum,DG MOCAP
CA3 Spiny Lucidum,DG MOLAX
CA3 Spiny Lucidum,DG MOPP
CA3 Spiny Lucidum,DG Neurogliaform
CA3 Spiny Lucidum,DG Outer Molecular Layer
CA3 Spiny Lucidum,DG Total Molecular Layer
CA3 Spiny Lucidum,CA3 Pyramidal
CA3 Spiny Lucidum,CA3c Pyramidal
CA3 Spiny Lucidum,CA3 Giant
CA3 Spiny Lucidum,CA3 Granule
CA3 Spiny Lucidum,CA3 Axo-Axonic
CA3 Spiny Lucidum,CA3 Basket
CA3 Spiny Lucidum,CA3 BC CCK+
CA3 Spiny Lucidum,CA3 Bistratified
CA3 Spiny Lucidum,CA3 IS Quad
CA3 Spiny Lucidum,CA3 Ivy
CA3 Spiny Lucidum,CA3 LMR-Targeting
CA3 Spiny Lucidum,CA3 Lucidum LAX
CA3 Spiny Lucidum,CA3 Lucidum ORAX
CA3 Spiny Lucidum,CA3 Lucidum-Radiatum
CA3 Spiny Lucidum,CA3 Spiny Lucidum
CA3 Spiny Lucidum,CA3 Mossy Fiber-Associated
CA3 Spiny Lucidum,CA3 MFA ORDEN
CA3 Spiny Lucidum,CA3 QuadD-LM
CA3 Spiny Lucidum,CA3 Radiatum
CA3 Spiny Lucidum,CA3 R-LM
CA3 Spiny Lucidum,CA1 NGF Projecting
CA3 Mossy Fiber-Associated,DG Hilar Ectopic Granule
CA3 Mossy Fiber-Associated,DG Mossy
CA3 Mossy Fiber-Associated,DG Mossy MOLDEN
CA3 Mossy Fiber-Associated,DG AIPRIM
CA3 Mossy Fiber-Associated,DG Axo-Axonic
CA3 Mossy Fiber-Associated,DG Basket
CA3 Mossy Fiber-Associated,DG BC CCK+
CA3 Mossy Fiber-Associated,DG HICAP
CA3 Mossy Fiber-Associated,DG HIPP
CA3 Mossy Fiber-Associated,DG HIPROM
CA3 Mossy Fiber-Associated,DG MOLAX
CA3 Mossy Fiber-Associated,DG Outer Molecular Layer
CA3 Mossy Fiber-Associated,DG Total Molecular Layer
CA3 Mossy Fiber-Associated,CA3 Pyramidal
CA3 Mossy Fiber-Associated,CA3c Pyramidal
CA3 Mossy Fiber-Associated,CA3 Giant
CA3 Mossy Fiber-Associated,CA3 Granule
CA3 Mossy Fiber-Associated,CA3 Axo-Axonic
CA3 Mossy Fiber-Associated,CA3 Basket
CA3 Mossy Fiber-Associated,CA3 BC CCK+
CA3 Mossy Fiber-Associated,CA3 Bistratified
CA3 Mossy Fiber-Associated,CA3 IS Quad
CA3 Mossy Fiber-Associated,CA3 Ivy
CA3 Mossy Fiber-Associated,CA3 LMR-Targeting
CA3 Mossy Fiber-Associated,CA3 Lucidum LAX
CA3 Mossy Fiber-Associated,CA3 Lucidum ORAX
CA3 Mossy Fiber-Associated,CA3 Lucidum-Radiatum
CA3 Mossy Fiber-Associated,CA3 Spiny Lucidum
CA3 Mossy Fiber-Associated,CA3 Mossy Fiber-Associated
CA3 Mossy Fiber-Associated,CA3 MFA ORDEN
CA3 Mossy Fiber-Associated,CA3 QuadD-LM
CA3 Mossy Fiber-Associated,CA3 Radiatum
CA3 Mossy Fiber-Associated,CA3 R-LM
CA3 Mossy Fiber-Associated,CA2 Wide-Arbor BC
CA3 MFA ORDEN,DG Hilar Ectopic Granule
CA3 MFA ORDEN,DG Mossy
CA3 MFA ORDEN,DG Mossy MOLDEN
CA3 MFA ORDEN,DG AIPRIM
CA3 MFA ORDEN,DG Axo-Axonic
CA3 MFA ORDEN,DG Basket
CA3 MFA ORDEN,DG BC CCK+
CA3 MFA ORDEN,DG HICAP
CA3 MFA ORDEN,DG HIPP
CA3 MFA ORDEN,DG HIPROM
CA3 MFA ORDEN,DG MOLAX
CA3 MFA ORDEN,DG Outer Molecular Layer
CA3 MFA ORDEN,DG Total Molecular Layer
CA3 MFA ORDEN,CA3 Pyramidal
CA3 MFA ORDEN,CA3c Pyramidal
CA3 MFA ORDEN,CA3 Axo-Axonic
CA3 MFA ORDEN,CA3 Basket
CA3 MFA ORDEN,CA3 BC CCK+
CA3 MFA ORDEN,CA3 Bistratified
CA3 MFA ORDEN,CA3 IS Quad
CA3 MFA ORDEN,CA3 Ivy
CA3 MFA ORDEN,CA3 LMR-Targeting
CA3 MFA ORDEN,CA3 Lucidum LAX
CA3 MFA ORDEN,CA3 Lucidum ORAX
CA3 MFA ORDEN,CA3 Lucidum-Radiatum
CA3 MFA ORDEN,CA3 Spiny Lucidum
CA3 MFA ORDEN,CA3 Mossy Fiber-Associated
CA3 MFA ORDEN,CA3 MFA ORDEN
CA3 MFA ORDEN,CA3 QuadD-LM
CA3 MFA ORDEN,CA2 Wide-Arbor BC
CA3 O-LM,CA3 Pyramidal
CA3 O-LM,CA3c Pyramidal
CA3 O-LM,CA3 Giant
CA3 O-LM,CA3 Granule
CA3 O-LM,CA3 Axo-Axonic
CA3 O-LM,CA3 Horizontal AA
CA3 O-LM,CA3 Basket
CA3 O-LM,CA3 BC CCK+
CA3 O-LM,CA3 Bistratified
CA3 O-LM,CA3 IS Oriens
CA3 O-LM,CA3 IS Quad
CA3 O-LM,CA3 Ivy
CA3 O-LM,CA3 LMR-Targeting
CA3 O-LM,CA3 Lucidum LAX
CA3 O-LM,CA3 Lucidum ORAX
CA3 O-LM,CA3 Lucidum-Radiatum
CA3 O-LM,CA3 Mossy Fiber-Associated
CA3 O-LM,CA3 MFA ORDEN
CA3 O-LM,CA3 O-LM
CA3 O-LM,CA3 QuadD-LM
CA3 O-LM,CA3 Radiatum
CA3 O-LM,CA3 R-LM
CA3 O-LM,CA3 SO-SO
CA3 O-LM,CA3 Trilaminar
CA3 QuadD-LM,CA3 Pyramidal
CA3 QuadD-LM,CA3 Giant
CA3 QuadD-LM,CA3 Granule
CA3 QuadD-LM,CA3 Axo-Axonic
CA3 QuadD-LM,CA3 Basket
CA3 QuadD-LM,CA3 BC CCK+
CA3 QuadD-LM,CA3 LMR-Targeting
CA3 Radiatum,CA3 Pyramidal
CA3 Radiatum,CA3c Pyramidal
CA3 Radiatum,CA3 Giant
CA3 Radiatum,CA3 Granule
CA3 Radiatum,CA3 Axo-Axonic
CA3 Radiatum,CA3 Basket
CA3 Radiatum,CA3 BC CCK+
CA3 Radiatum,CA3 Bistratified
CA3 Radiatum,CA3 IS Quad
CA3 Radiatum,CA3 Ivy
CA3 Radiatum,CA3 LMR-Targeting
CA3 Radiatum,CA3 Lucidum LAX
CA3 Radiatum,CA3 Lucidum ORAX
CA3 Radiatum,CA3 Lucidum-Radiatum
CA3 Radiatum,CA3 Mossy Fiber-Associated
CA3 Radiatum,CA3 MFA ORDEN
CA3 Radiatum,CA3 QuadD-LM
CA3 Radiatum,CA3 Radiatum
CA3 Radiatum,CA3 R-LM
CA3 R-LM,CA3 Pyramidal
CA3 R-LM,CA3 Giant
CA3 R-LM,CA3 Granule
CA3 R-LM,CA3 Axo-Axonic
CA3 R-LM,CA3 Basket
CA3 R-LM,CA3 BC CCK+
CA3 R-LM,CA3 LMR-Targeting
CA3 SO-SO,CA3 Pyramidal
CA3 SO-SO,CA3c Pyramidal
CA3 SO-SO,CA3 Axo-Axonic
CA3 SO-SO,CA3 Horizontal AA
CA3 SO-SO,CA3 Basket
CA3 SO-SO,CA3 BC CCK+
CA3 SO-SO,CA3 Bistratified
CA3 SO-SO,CA3 IS Oriens
CA3 SO-SO,CA3 IS Quad
CA3 SO-SO,CA3 Ivy
CA3 SO-SO,CA3 MFA ORDEN
CA3 SO-SO,CA3 O-LM
CA3 SO-SO,CA3 QuadD-LM
CA3 SO-SO,CA3 SO-SO
CA3 SO-SO,CA3 Trilaminar
CA3 Trilaminar,CA3 Pyramidal
CA3 Trilaminar,CA3c Pyramidal
CA3 Trilaminar,CA3 Giant
CA3 Trilaminar,CA3 Granule
CA3 Trilaminar,CA3 Axo-Axonic
CA3 Trilaminar,CA3 Horizontal AA
CA3 Trilaminar,CA3 Basket
CA3 Trilaminar,CA3 BC CCK+
CA3 Trilaminar,CA3 Bistratified
CA3 Trilaminar,CA3 IS Oriens
CA3 Trilaminar,CA3 IS Quad
CA3 Trilaminar,CA3 Ivy
CA3 Trilaminar,CA3 LMR-Targeting
CA3 Trilaminar,CA3 Lucidum LAX
CA3 Trilaminar,CA3 Lucidum ORAX
CA3 Trilaminar,CA3 Lucidum-Radiatum
CA3 Trilaminar,CA3 Spiny Lucidum
CA3 Trilaminar,CA3 Mossy Fiber-Associated
CA3 Trilaminar,CA3 MFA ORDEN
CA3 Trilaminar,CA3 O-LM
CA3 Trilaminar,CA3 QuadD-LM
CA3 Trilaminar,CA3 Radiatum
CA3 Trilaminar,CA3 R-LM
CA3 Trilaminar,CA3 SO-SO
CA3 Trilaminar,CA3 Trilaminar
CA3 Trilaminar,CA2 Wide-Arbor BC
CA3 Trilaminar,CA1 Pyramidal
CA3 Trilaminar,CA1 Superficial Pyramidal
CA3 Trilaminar,CA1 Deep Pyramidal
CA3 Trilaminar,CA1 Radiatum Giant
CA3 Trilaminar,CA1 Axo-Axonic
CA3 Trilaminar,CA1 Horizontal AA
CA3 Trilaminar,CA1 Back-Projection
CA3 Trilaminar,CA1 Basket
CA3 Trilaminar,CA1 BC CCK+
CA3 Trilaminar,CA1 Horizontal BC
CA3 Trilaminar,CA1 Bistratified
CA3 Trilaminar,CA1 C-Bistratified
CA3 Trilaminar,CA1 IS LMO-O
CA3 Trilaminar,CA1 IS LMR-R
CA3 Trilaminar,CA1 IS O-R
CA3 Trilaminar,CA1 IS O-Target QuadD
CA3 Trilaminar,CA1 IS R-O
CA3 Trilaminar,CA1 IS RO-O
CA3 Trilaminar,CA1 Ivy
CA3 Trilaminar,CA1 LMR
CA3 Trilaminar,CA1 LMR Projecting
CA3 Trilaminar,CA1 O-LM
CA3 Trilaminar,CA1 Recurrent O-LM
CA3 Trilaminar,CA1 O-LMR
CA3 Trilaminar,CA1 Oriens/Alveus
CA3 Trilaminar,CA1 Oriens-Bistratified
CA3 Trilaminar,CA1 Oriens-Bistratified Projecting
CA3 Trilaminar,CA1 OR-LM
CA3 Trilaminar,CA1 Perforant Path-Assoc
CA3 Trilaminar,CA1 PPA QuadD
CA3 Trilaminar,CA1 Quadrilaminar
CA3 Trilaminar,CA1 Radiatum
CA3 Trilaminar,CA1 R-Recv Apical-Target
CA3 Trilaminar,CA1 Schaffer Collateral-Assoc
CA3 Trilaminar,CA1 SC-Receiving R-Targeting
CA3 Trilaminar,CA1 SO-SO
CA3 Trilaminar,CA1 Hipp-SUB Proj ENK+
CA3 Trilaminar,CA1 Trilaminar
CA3 Trilaminar,CA1 Radial Trilaminar
CA2 Pyramidal,DG Hilar Ectopic Granule
CA2 Pyramidal,DG Mossy
CA2 Pyramidal,DG Mossy MOLDEN
CA2 Pyramidal,DG AIPRIM
CA2 Pyramidal,DG Axo-Axonic
CA2 Pyramidal,DG Basket
CA2 Pyramidal,DG BC CCK+
CA2 Pyramidal,DG HICAP
CA2 Pyramidal,DG HIPP
CA2 Pyramidal,DG HIPROM
CA2 Pyramidal,DG MOLAX
CA2 Pyramidal,DG Outer Molecular Layer
CA2 Pyramidal,DG Total Molecular Layer
CA2 Pyramidal,CA3 Pyramidal
CA2 Pyramidal,CA3c Pyramidal
CA2 Pyramidal,CA3 Giant
CA2 Pyramidal,CA3 Granule
CA2 Pyramidal,CA3 Axo-Axonic
CA2 Pyramidal,CA3 Horizontal AA
CA2 Pyramidal,CA3 Basket
CA2 Pyramidal,CA3 BC CCK+
CA2 Pyramidal,CA3 Bistratified
CA2 Pyramidal,CA3 IS Oriens
CA2 Pyramidal,CA3 IS Quad
CA2 Pyramidal,CA3 Ivy
CA2 Pyramidal,CA3 LMR-Targeting
CA2 Pyramidal,CA3 Lucidum LAX
CA2 Pyramidal,CA3 Lucidum ORAX
CA2 Pyramidal,CA3 Lucidum-Radiatum
CA2 Pyramidal,CA3 Spiny Lucidum
CA2 Pyramidal,CA3 Mossy Fiber-Associated
CA2 Pyramidal,CA3 MFA ORDEN
CA2 Pyramidal,CA3 O-LM
CA2 Pyramidal,CA3 QuadD-LM
CA2 Pyramidal,CA3 Radiatum
CA2 Pyramidal,CA3 R-LM
CA2 Pyramidal,CA3 SO-SO
CA2 Pyramidal,CA3 Trilaminar
CA2 Pyramidal,CA2 Pyramidal
CA2 Pyramidal,CA2 Basket
CA2 Pyramidal,CA2 Wide-Arbor BC
CA2 Pyramidal,CA2 Bistratified
CA2 Pyramidal,CA2 SP-SR
CA2 Pyramidal,CA1 Pyramidal
CA2 Pyramidal,CA1 Superficial Pyramidal
CA2 Pyramidal,CA1 Deep Pyramidal
CA2 Pyramidal,CA1 Radiatum Giant
CA2 Pyramidal,CA1 Axo-Axonic
CA2 Pyramidal,CA1 Horizontal AA
CA2 Pyramidal,CA1 Back-Projection
CA2 Pyramidal,CA1 Basket
CA2 Pyramidal,CA1 BC CCK+
CA2 Pyramidal,CA1 Horizontal BC
CA2 Pyramidal,CA1 Bistratified
CA2 Pyramidal,CA1 C-Bistratified
CA2 Pyramidal,CA1 IS LMO-O
CA2 Pyramidal,CA1 IS LMR-R
CA2 Pyramidal,CA1 IS O-R
CA2 Pyramidal,CA1 IS O-Target QuadD
CA2 Pyramidal,CA1 IS R-O
CA2 Pyramidal,CA1 IS RO-O
CA2 Pyramidal,CA1 Ivy
CA2 Pyramidal,CA1 LMR
CA2 Pyramidal,CA1 LMR Projecting
CA2 Pyramidal,CA1 O-LM
CA2 Pyramidal,CA1 Recurrent O-LM
CA2 Pyramidal,CA1 O-LMR
CA2 Pyramidal,CA1 Oriens/Alveus
CA2 Pyramidal,CA1 Oriens-Bistratified
CA2 Pyramidal,CA1 Oriens-Bistratified Projecting
CA2 Pyramidal,CA1 OR-LM
CA2 Pyramidal,CA1 Perforant Path-Assoc
CA2 Pyramidal,CA1 PPA QuadD
CA2 Pyramidal,CA1 Quadrilaminar
CA2 Pyramidal,CA1 Radiatum
CA2 Pyramidal,CA1 R-Recv Apical-Target
CA2 Pyramidal,CA1 Schaffer Collateral-Assoc
CA2 Pyramidal,CA1 SC-Receiving R-Targeting
CA2 Pyramidal,CA1 SO-SO
CA2 Pyramidal,CA1 Hipp-SUB Proj ENK+
CA2 Pyramidal,CA1 Trilaminar
CA2 Pyramidal,CA1 Radial Trilaminar
CA2 Basket,CA2 Pyramidal
CA2 Basket,CA2 Basket
CA2 Basket,CA2 Wide-Arbor BC
CA2 Basket,CA2 Bistratified
CA2 Basket,CA2 SP-SR
CA2 Wide-Arbor BC,CA3 Pyramidal
CA2 Wide-Arbor BC,CA3c Pyramidal
CA2 Wide-Arbor BC,CA3 Axo-Axonic
CA2 Wide-Arbor BC,CA3 Basket
CA2 Wide-Arbor BC,CA3 BC CCK+
CA2 Wide-Arbor BC,CA3 Bistratified
CA2 Wide-Arbor BC,CA3 IS Quad
CA2 Wide-Arbor BC,CA3 MFA ORDEN
CA2 Wide-Arbor BC,CA3 QuadD-LM
CA2 Wide-Arbor BC,CA2 Pyramidal
CA2 Wide-Arbor BC,CA2 Basket
CA2 Wide-Arbor BC,CA2 Wide-Arbor BC
CA2 Wide-Arbor BC,CA2 Bistratified
CA2 Wide-Arbor BC,CA2 SP-SR
CA2 Wide-Arbor BC,CA1 Pyramidal
CA2 Wide-Arbor BC,CA1 Superficial Pyramidal
CA2 Wide-Arbor BC,CA1 Deep Pyramidal
CA2 Wide-Arbor BC,CA1 Radiatum Giant
CA2 Wide-Arbor BC,CA1 Axo-Axonic
CA2 Wide-Arbor BC,CA1 Basket
CA2 Wide-Arbor BC,CA1 BC CCK+
CA2 Wide-Arbor BC,CA1 Horizontal BC
CA2 Wide-Arbor BC,CA1 Bistratified
CA2 Wide-Arbor BC,CA1 C-Bistratified
CA2 Wide-Arbor BC,CA1 IS LMO-O
CA2 Wide-Arbor BC,CA1 IS LMR-R
CA2 Wide-Arbor BC,CA1 IS O-Target QuadD
CA2 Wide-Arbor BC,CA1 IS R-O
CA2 Wide-Arbor BC,CA1 IS RO-O
CA2 Wide-Arbor BC,CA1 Ivy
CA2 Wide-Arbor BC,CA1 OR-LM
CA2 Wide-Arbor BC,CA1 Radial Trilaminar
CA2 Bistratified,CA2 Pyramidal
CA2 Bistratified,CA2 Basket
CA2 Bistratified,CA2 Wide-Arbor BC
CA2 Bistratified,CA2 Bistratified
CA2 Bistratified,CA2 SP-SR
CA2 Bistratified,CA1 Pyramidal
CA2 Bistratified,CA1 Superficial Pyramidal
CA2 Bistratified,CA1 Deep Pyramidal
CA2 Bistratified,CA1 Radiatum Giant
CA2 Bistratified,CA1 Axo-Axonic
CA2 Bistratified,CA1 Horizontal AA
CA2 Bistratified,CA1 Back-Projection
CA2 Bistratified,CA1 Basket
CA2 Bistratified,CA1 BC CCK+
CA2 Bistratified,CA1 Horizontal BC
CA2 Bistratified,CA1 Bistratified
CA2 Bistratified,CA1 C-Bistratified
CA2 Bistratified,CA1 IS LMO-O
CA2 Bistratified,CA1 IS LMR-R
CA2 Bistratified,CA1 IS O-R
CA2 Bistratified,CA1 IS O-Target QuadD
CA2 Bistratified,CA1 IS R-O
CA2 Bistratified,CA1 IS RO-O
CA2 Bistratified,CA1 Ivy
CA2 Bistratified,CA1 LMR
CA2 Bistratified,CA1 LMR Projecting
CA2 Bistratified,CA1 O-LM
CA2 Bistratified,CA1 Recurrent O-LM
CA2 Bistratified,CA1 O-LMR
CA2 Bistratified,CA1 Oriens/Alveus
CA2 Bistratified,CA1 Oriens-Bistratified
CA2 Bistratified,CA1 Oriens-Bistratified Projecting
CA2 Bistratified,CA1 OR-LM
CA2 Bistratified,CA1 Perforant Path-Assoc
CA2 Bistratified,CA1 PPA QuadD
CA2 Bistratified,CA1 Quadrilaminar
CA2 Bistratified,CA1 Radiatum
CA2 Bistratified,CA1 R-Recv Apical-Target
CA2 Bistratified,CA1 Schaffer Collateral-Assoc
CA2 Bistratified,CA1 SC-Receiving R-Targeting
CA2 Bistratified,CA1 SO-SO
CA2 Bistratified,CA1 Hipp-SUB Proj ENK+
CA2 Bistratified,CA1 Trilaminar
CA2 Bistratified,CA1 Radial Trilaminar
CA2 SP-SR,CA2 Pyramidal
CA2 SP-SR,CA2 Basket
CA2 SP-SR,CA2 Wide-Arbor BC
CA2 SP-SR,CA2 Bistratified
CA2 SP-SR,CA2 SP-SR
CA1 Pyramidal,CA1 Pyramidal
CA1 Pyramidal,CA1 Superficial Pyramidal
CA1 Pyramidal,CA1 Deep Pyramidal
CA1 Pyramidal,CA1 Axo-Axonic
CA1 Pyramidal,CA1 Horizontal AA
CA1 Pyramidal,CA1 Back-Projection
CA1 Pyramidal,CA1 Basket
CA1 Pyramidal,CA1 BC CCK+
CA1 Pyramidal,CA1 Horizontal BC
CA1 Pyramidal,CA1 Bistratified
CA1 Pyramidal,CA1 C-Bistratified
CA1 Pyramidal,CA1 IS LMO-O
CA1 Pyramidal,CA1 IS O-R
CA1 Pyramidal,CA1 IS O-Target QuadD
CA1 Pyramidal,CA1 IS RO-O
CA1 Pyramidal,CA1 Ivy
CA1 Pyramidal,CA1 O-LM
CA1 Pyramidal,CA1 Recurrent O-LM
CA1 Pyramidal,CA1 O-LMR
CA1 Pyramidal,CA1 Oriens/Alveus
CA1 Pyramidal,CA1 Oriens-Bistratified
CA1 Pyramidal,CA1 Oriens-Bistratified Projecting
CA1 Pyramidal,CA1 OR-LM
CA1 Pyramidal,CA1 PPA QuadD
CA1 Pyramidal,CA1 Quadrilaminar
CA1 Pyramidal,CA1 SC-Receiving R-Targeting
CA1 Pyramidal,CA1 SO-SO
CA1 Pyramidal,CA1 Hipp-SUB Proj ENK+
CA1 Pyramidal,CA1 Trilaminar
CA1 Pyramidal,CA1 Radial Trilaminar
CA1 Pyramidal,Sub EC-Proj Pyramidal
CA1 Pyramidal,Sub CA1-Proj Pyramidal
CA1 Pyramidal,Sub Axo-axonic
CA1 Pyramidal,LEC LIII Multipolar Principal
CA1 Pyramidal,EC LIII-V Bipolar Pyramidal
CA1 Pyramidal,EC LIV-V Pyramidal-Horiz
CA1 Pyramidal,EC LIV-VI Deep Multipolar
CA1 Pyramidal,MEC LV Multipolar-PC
CA1 Pyramidal,EC LV Deep Pyramidal
CA1 Pyramidal,MEC LV Pyramidal
CA1 Pyramidal,MEC LV Superficial PC
CA1 Pyramidal,MEC LV-VI PC-Polymorph
CA1 Pyramidal,LEC LVI Multipolar-PC
CA1 Pyramidal,MEC LIII Multipolar
CA1 Superficial Pyramidal,CA1 Pyramidal
CA1 Superficial Pyramidal,CA1 Superficial Pyramidal
CA1 Superficial Pyramidal,CA1 Deep Pyramidal
CA1 Superficial Pyramidal,CA1 Axo-Axonic
CA1 Superficial Pyramidal,CA1 Horizontal AA
CA1 Superficial Pyramidal,CA1 Back-Projection
CA1 Superficial Pyramidal,CA1 Basket
CA1 Superficial Pyramidal,CA1 BC CCK+
CA1 Superficial Pyramidal,CA1 Horizontal BC
CA1 Superficial Pyramidal,CA1 Bistratified
CA1 Superficial Pyramidal,CA1 C-Bistratified
CA1 Superficial Pyramidal,CA1 IS LMO-O
CA1 Superficial Pyramidal,CA1 IS O-R
CA1 Superficial Pyramidal,CA1 IS O-Target QuadD
CA1 Superficial Pyramidal,CA1 IS RO-O
CA1 Superficial Pyramidal,CA1 Ivy
CA1 Superficial Pyramidal,CA1 O-LM
CA1 Superficial Pyramidal,CA1 Recurrent O-LM
CA1 Superficial Pyramidal,CA1 O-LMR
CA1 Superficial Pyramidal,CA1 Oriens/Alveus
CA1 Superficial Pyramidal,CA1 Oriens-Bistratified
CA1 Superficial Pyramidal,CA1 Oriens-Bistratified Projecting
CA1 Superficial Pyramidal,CA1 OR-LM
CA1 Superficial Pyramidal,CA1 PPA QuadD
CA1 Superficial Pyramidal,CA1 Quadrilaminar
CA1 Superficial Pyramidal,CA1 SC-Receiving R-Targeting
CA1 Superficial Pyramidal,CA1 SO-SO
CA1 Superficial Pyramidal,CA1 Hipp-SUB Proj ENK+
CA1 Superficial Pyramidal,CA1 Trilaminar
CA1 Superficial Pyramidal,CA1 Radial Trilaminar
CA1 Superficial Pyramidal,Sub EC-Proj Pyramidal
CA1 Superficial Pyramidal,Sub CA1-Proj Pyramidal
CA1 Superficial Pyramidal,Sub Axo-axonic
CA1 Superficial Pyramidal,LEC LIII Multipolar Principal
CA1 Superficial Pyramidal,EC LIII-V Bipolar Pyramidal
CA1 Superficial Pyramidal,EC LIV-V Pyramidal-Horiz
CA1 Superficial Pyramidal,EC LIV-VI Deep Multipolar
CA1 Superficial Pyramidal,MEC LV Multipolar-PC
CA1 Superficial Pyramidal,EC LV Deep Pyramidal
CA1 Superficial Pyramidal,MEC LV Pyramidal
CA1 Superficial Pyramidal,MEC LV Superficial PC
CA1 Superficial Pyramidal,MEC LV-VI PC-Polymorph
CA1 Superficial Pyramidal,LEC LVI Multipolar-PC
CA1 Superficial Pyramidal,MEC LIII Multipolar
CA1 Deep Pyramidal,CA1 Pyramidal
CA1 Deep Pyramidal,CA1 Superficial Pyramidal
CA1 Deep Pyramidal,CA1 Deep Pyramidal
CA1 Deep Pyramidal,CA1 Axo-Axonic
CA1 Deep Pyramidal,CA1 Horizontal AA
CA1 Deep Pyramidal,CA1 Back-Projection
CA1 Deep Pyramidal,CA1 Basket
CA1 Deep Pyramidal,CA1 BC CCK+
CA1 Deep Pyramidal,CA1 Horizontal BC
CA1 Deep Pyramidal,CA1 Bistratified
CA1 Deep Pyramidal,CA1 C-Bistratified
CA1 Deep Pyramidal,CA1 IS LMO-O
CA1 Deep Pyramidal,CA1 IS O-R
CA1 Deep Pyramidal,CA1 IS O-Target QuadD
CA1 Deep Pyramidal,CA1 IS RO-O
CA1 Deep Pyramidal,CA1 Ivy
CA1 Deep Pyramidal,CA1 O-LM
CA1 Deep Pyramidal,CA1 Recurrent O-LM
CA1 Deep Pyramidal,CA1 O-LMR
