From (presynaptic type),To (postsynaptic type)
DG Basket,DG Outer Molecular Layer
DG Basket,DG Total Molecular Layer
DG BC CCK+,DG Granule
DG BC CCK+,DG Axo-Axonic
DG BC CCK+,DG Basket
DG BC CCK+,DG HICAP
DG BC CCK+,DG HIPP
DG BC CCK+,DG MOLAX
DG BC CCK+,DG Outer Molecular Layer
DG BC CCK+,DG Total Molecular Layer
DG HICAP,DG Granule
DG HICAP,DG Hilar Ectopic Granule
DG HICAP,DG Semilunar Granule
DG HICAP,DG Mossy MOLDEN
DG HICAP,DG AIPRIM
DG HICAP,DG Axo-Axonic
DG HICAP,DG Basket
DG HICAP,DG BC CCK+
DG HICAP,DG HICAP
DG HICAP,DG HIPROM
DG HICAP,DG MOCAP
DG HICAP,DG MOLAX
DG HICAP,DG Outer Molecular Layer
DG HICAP,DG Total Molecular Layer
DG HIPP,DG Granule
DG HIPP,DG Hilar Ectopic Granule
DG HIPP,DG Semilunar Granule
DG HIPP,DG Mossy MOLDEN
DG HIPP,DG AIPRIM
DG HIPP,DG Axo-Axonic
DG HIPP,DG Basket
DG HIPP,DG BC CCK+
DG HIPP,DG HICAP
DG HIPP,DG MOLAX
DG HIPP,DG MOPP
DG HIPP,DG Neurogliaform
DG HIPP,DG Outer Molecular Layer
DG HIPP,DG Total Molecular Layer
DG HIPP,CA1 NGF Projecting
DG HIPROM,DG Granule
DG HIPROM,DG Hilar Ectopic Granule
DG HIPROM,DG Semilunar Granule
DG HIPROM,DG Mossy
DG HIPROM,DG Mossy MOLDEN
DG HIPROM,DG AIPRIM
DG HIPROM,DG Axo-Axonic
DG HIPROM,DG Basket
DG HIPROM,DG BC CCK+
DG HIPROM,DG HICAP
DG HIPROM,DG HIPP
DG HIPROM,DG HIPROM
DG HIPROM,DG MOCAP
DG HIPROM,DG MOLAX
DG HIPROM,DG MOPP
DG HIPROM,DG Neurogliaform
DG HIPROM,DG Outer Molecular Layer
DG HIPROM,DG Total Molecular Layer
DG HIPROM,CA3 Pyramidal
DG HIPROM,CA3c Pyramidal
DG HIPROM,CA3 Giant
DG HIPROM,CA3 Granule
DG HIPROM,CA3 Axo-Axonic
DG HIPROM,CA3 Horizontal AA
DG HIPROM,CA3 Basket
DG HIPROM,CA3 BC CCK+
DG HIPROM,CA3 Bistratified
DG HIPROM,CA3 IS Oriens
DG HIPROM,CA3 IS Quad
DG HIPROM,CA3 Ivy
DG HIPROM,CA3 LMR-Targeting
DG HIPROM,CA3 Lucidum LAX
DG HIPROM,CA3 Lucidum ORAX
DG HIPROM,CA3 Lucidum-Radiatum
DG HIPROM,CA3 Spiny Lucidum
DG HIPROM,CA3 Mossy Fiber-Associated
DG HIPROM,CA3 MFA ORDEN
DG HIPROM,CA3 O-LM
DG HIPROM,CA3 QuadD-LM
DG HIPROM,CA3 Radiatum
DG HIPROM,CA3 R-LM
DG HIPROM,CA3 SO-SO
DG HIPROM,CA3 Trilaminar
DG HIPROM,CA2 Wide-Arbor BC
DG HIPROM,CA1 NGF Projecting
DG MOCAP,DG Granule
DG MOCAP,DG Hilar Ectopic Granule
DG MOCAP,DG Semilunar Granule
DG MOCAP,DG Mossy
DG MOCAP,DG Mossy MOLDEN
DG MOCAP,DG AIPRIM
DG MOCAP,DG Axo-Axonic
DG MOCAP,DG Basket
DG MOCAP,DG BC CCK+
DG MOCAP,DG HICAP
DG MOCAP,DG HIPP
DG MOCAP,DG HIPROM
DG MOCAP,DG MOCAP
DG MOCAP,DG MOLAX
DG MOCAP,DG Outer Molecular Layer
DG MOCAP,DG Total Molecular Layer
DG MOCAP,CA3 IS Quad
DG MOLAX,DG Granule
DG MOLAX,DG Hilar Ectopic Granule
DG MOLAX,DG Semilunar Granule
DG MOLAX,DG Mossy MOLDEN
DG MOLAX,DG AIPRIM
DG MOLAX,DG Axo-Axonic
DG MOLAX,DG Basket
DG MOLAX,DG BC CCK+
DG MOLAX,DG HICAP
DG MOLAX,DG HIPROM
DG MOLAX,DG MOCAP
DG MOLAX,DG MOLAX
DG MOLAX,DG MOPP
