,Volumes,563360068.7,750267763.7,411400000,620633287.1
,Neuron ID,SLM,SR,SP,SO
CA2 Pyramidal,3000,,39100651.58,1763230.635,15555549.83
,,12409879.06,19287137.31,1533214.803,15074005.61
CA2 Basket,3006,,,26065621.75,
,,7771201.873,15033818.94,12186524.45,14617585.85
CA2 Wide-Arbor Basket,3007,,,79773059.81,
,,42300456.87,8692406.462,3183731.972,26027650.87
CA2 Bistratified,3003,,77093257.16,50569640.79,60014514.38
,,,42868155.92,3657133.17,54647703.24
CA2 SP-SR,3008,,52425547.33,,
,,,43809611.3,521479.2195,16174007.56
